Timestamp,¿Está dispuesto a completar esta encuesta por completo y una sola una vez?,Edad,Género,Ingresos mensuales promedio,Vivo en:,En mi recibo del servicio eléctrico dice que vivo en estrato,Filiación religiosa,Grupo Sanguíneo,¿Piensa votar en las próximas elecciones Alcaldía Bogotá 2015?,¿Tiene algún tipo de filiación con un grupo político?,"Ahora si, ¿Por quién piensa votar en las próxima elecciones Alcaldía Bogotá 2015?"
10/14/2015 17:07:43,Si,18-22,Femenino,Menos de un SMMLV,Bogotá,3,Ninguna/Otra/No le importa,A+,Si,No,En blanco/Nulo
10/14/2015 17:09:48,Si,23-28,Masculino,Menos de un SMMLV,Bogotá,1,Ateo,O+,No me decido/No me importa,No,Clara López Obregón (Polo Democrático)
10/14/2015 17:11:50,Si,18-22,Femenino,"Soy freelance, no se que es recibir plata mensualmente",Bogotá,2,Ninguna/Otra/No le importa,AB+,No,No,"Alex Vernot (Pueblo, Tierra y Futuro)"
10/14/2015 17:21:38,No,23-28,Masculino,"Soy freelance, no se que es recibir plata mensualmente","Lejos, muy lejos",No tengo servicio eléctrico en mi casa / vivo debajo de un puente,Fetichista,O+,No,No,Daniel Raisbeck (Movimiento Libertario)
10/14/2015 17:59:20,Si,18-22,Masculino,Menos de un SMMLV,Bogotá,3,Agnóstico,O+,Si,No,En blanco/Nulo
10/14/2015 18:01:52,Si,23-28,Masculino,4 a 6 SMMLV,"Lejos, muy lejos",4,Ateo,O+,Si,Si,Francisco Santos (Centro Demoniaco)
10/14/2015 18:04:07,Si,18-22,Masculino,Menos de un SMMLV,Bogotá,3,"Católico, Apostólico y Romano",O+,Si,No,Enrique Peñalosa (seamos sinceros: Cambio Radical)
10/14/2015 18:08:09,Si,23-28,Masculino,Menos de un SMMLV,"Lejos, muy lejos",1,Ninguna/Otra/No le importa,O+,Si,Si,Clara López Obregón (Polo Democrático)
10/14/2015 18:18:12,Si,29-33,Masculino,1 a 2 SMMLV,Bogotá,3,Humanista Secular,O-,Si,Si,"Alex Vernot (Pueblo, Tierra y Futuro)"
10/14/2015 18:21:34,Si,23-28,Masculino,Menos de un SMMLV,Bogotá,4,"Católico, Apostólico y Romano",A+,Si,No,Rafael Pardo (Partido Liberal)
10/14/2015 18:22:39,Si,18-22,Masculino,"Soy freelance, no se que es recibir plata mensualmente",Bogotá,2,Otra secta cristiana protestante,O+,Si,Si,Enrique Peñalosa (seamos sinceros: Cambio Radical)
10/14/2015 18:46:25,Si,18-22,Masculino,Menos de un SMMLV,Bogotá,2,"Católico, Apostólico y Romano",A+,Si,Si,Daniel Raisbeck (Movimiento Libertario)
10/14/2015 19:29:23,Si,18-22,Masculino,3 SMMLV,Bogotá,3,Ateo,O+,Si,No,Rafael Pardo (Partido Liberal)
10/14/2015 19:45:01,Si,29-33,Masculino,1 a 2 SMMLV,Bogotá,3,Cristiano Ortodoxo,A+,Si,No,En blanco/Nulo
10/14/2015 19:48:43,Si,18-22,Masculino,7 a 10 SMMLV,Bogotá,5,"Católico, Apostólico y Romano",O+,Si,No,Enrique Peñalosa (seamos sinceros: Cambio Radical)
10/14/2015 20:00:10,Si,18-22,Masculino,Menos de un SMMLV,"Lejos, muy lejos",4,Ninguna/Otra/No le importa,A+,Si,No,Clara López Obregón (Polo Democrático)
10/14/2015 20:11:58,Si,18-22,Masculino,7 a 10 SMMLV,Bogotá,5,Ninguna/Otra/No le importa,O+,Si,Si,Clara López Obregón (Polo Democrático)
10/14/2015 20:25:00,Si,18-22,Masculino,Menos de un SMMLV,Bogotá,2,Ateo,O+,Si,No,Daniel Raisbeck (Movimiento Libertario)
10/14/2015 20:35:33,Si,18-22,Femenino,1 a 2 SMMLV,Algún municipio cercano a Bogotá,3,"Católico, Apostólico y Romano",A+,Si,No,"Alex Vernot (Pueblo, Tierra y Futuro)"
10/14/2015 20:50:20,Si,18-22,Masculino,3 SMMLV,Bogotá,3,Agnóstico,O-,Si,No,Daniel Raisbeck (Movimiento Libertario)
10/14/2015 21:39:16,Si,23-28,Masculino,1 a 2 SMMLV,Bogotá,3,Agnóstico,O+,Si,No,Clara López Obregón (Polo Democrático)
10/14/2015 21:58:21,Si,23-28,Masculino,1 a 2 SMMLV,"Lejos, muy lejos",4,Agnóstico,O+,No,No,Enrique Peñalosa (seamos sinceros: Cambio Radical)
